,hotel,commentaire,note
10,Appi Hotel, petit hôtel paie mine accueil sympa quartier très animé nombreux restos chambre 4 5ème étage sans ascenseur douche wc confort minimum chambre cour donc possibilité dormir fenêtre ouverte,0
11,Appi Hotel, top malcorrecte rapport qualité prix surtout emplacement satisfait 5 etages dascenceur personnel toujours presents aimables quand là quartier nest tout horrible qq sex shops prostitués qq metres enfin petit budget entre amis solo cest terrible,1
12,Appi Hotel, personnel invisible inexistant sauf remise clé surtout très autain limite insultant quand problème hôtel ferme 13h 16h javais besoin prendre possession chambre avant 16h appelle répond quoi venir avant 13h compréhensible dessus quand appel dire quon bouchons quon arrivera vers 13h10 grand max possible personnel fini a 13h parte 12h55 trouve ça tout pro ni commerçant surtout quand permette limite insulter çause ça résumer hôtel pitoyable personnel incompétent juste prendre sous reste sen foutent,1
13,Appi Hotel, lhôtel nest extraordinaire vu prix situation centrale paris pouvais sattendre pire contre quartier déplorable regorge dizaines sexshop nuit personnes sauvagement éméchées,1
14,Appi Hotel, jai vraiment déçu cet hôtel télé ni wc chambres chambres petites a juste lit lavabo wifi marchait coté lhôtel a sex shop a prostitués,1
15,Appi Hotel, très déçu cet hôtel critiques semblaient intéressantes chambre laquelle jai logé sol droit vmc fonctionnait bouchée fait minuscule salle bain très humide générant beaucoup moisissure dessous lavabo lequel robinet tenait grâce tuyaux deau bon tout cela fait peutêtre parti charme parisien dehors cela jétais surpris trouver télé wifi fonctionnait très lentement lit convenable,1
16,Appi Hotel, tout dabord accueil personnel tres chaleureux attentionné sourire chambres propres douches wc propres quartier très sympa pouvez manger tout a prix raisonnables deuxième fois sejourne cet hôtel reviendrai plaisir recommande vivement,0
17,Appi Hotel, hôtel moyen très simple cher rechercher confort télévision possibilité petit déjeuner dascenceur grosse valise éviter si 5eme valable séjour dune nuit deux,1
18,Appi Hotel, lhôtel agréable silencieux si entends peu rue saint dénis chambres simples propres agréables tv petit déjeuner choix vaste environs bon choix séjour court cher,1
19,Appi Hotel, bon rapport qualité prix paris simple propre pratique car proche centre paris sanitaire douche petits propres petit bémol tuyauterie peu bruyante bon accueil,1
20,Appi Hotel, venus dormir seule nuit début novembre 2013 reparti aussitôt recherche dun nouvel hôtel tout dabord létablissement trouve rue plusieurs sexshop donc compris quoi sert lhôtel quant chambres très sale poils cheveux lits sommier drap datant surement plusieurs décennies douches communes abobinable peinture abimé excréments souris bref conseille cet hôtel aucune personne respecte minimum,1
21,Appi Hotel, we prolongé paris opté hôtel central proximité principaux attraits touristiques capitale rentrant budget quartier animé restaurants profusion navons regretté choix accueil sympathique conseils bon tuyaux patrons apporteront aide précieuse rendre séjour agréable retournerons sans aucune hésitation cet établissement très abordable hôtel plein centreville recommandons lieu,0
22,Appi Hotel, chambres propres rapport qualité prix incomparable accueil chaleureux bon séjour couple passage paris bon emplacement métro proche lhôtel quartiers sympas visiter alentours marais notredame recommande vivement,0
23,Appi Hotel, hotel low cost tres bien placé centre paris proximité musée pompidou halles chatelet paris bouge a plein bars restaurants sympa environs tres bon rapport qualité prix donc recommander,0
24,Appi Hotel, cet hôtel low cost très bien situé 2 minutes pied station métro réaumur sébastopol 10 minutes halles centre pompidou 5 minutes marais dame louvre accessible pied 70 euros chambre double plus sympathique plus grande prévu finalement très agréablement surpris très bon rapport qualité prix cet établissement recommandons vivement,0
25,Appi Hotel, arrivés 13h trouvé portes closes effet réception ferme 13h 16h nétait mentionné réservationjavais fait garantie réservation n° carte crédit donc décidé daller ailleurs voulait quand attendre 3h valises soir décidé daller expliquer problème patron montrant réservation cet individu a menacés na voulu lire réservation a dit quil prélèverait 70 euros chambre a plus ajouté quil a vus arriver 13h05 valises quil voulait ouvrir car pauseun comble lhôtel sale sent mauvais moquette fatiguée ny a dascenseur rampe,1
26,Appi Hotel, prix faut sattendre grand confort propreté rendezvous cest essentiel nai chance arrivé vers 17 heures chambre nétait prête effort pourrait être fait douche vraiment trop petite impossible baisser ramasser quelque chose sans devoir ouvrir porte sinon lhôtel calme deux nuit coeur paris cest très bien,1
27,Appi Hotel, bonjour nai pu rendre hôtel car train a problème technique mempêchant donc rendre paris avoir chances faire rembourser faudrait facture acquitée part mentionnant nai logé hôtel cette date là lattente réponse cordialement mr anstett,0
28,Appi Hotel, sais si elles font fine bouche pourquoi si peu personnes fait constat toute façon lit petits vampires régalaient sang réveillée corps parsemé piqûres très agréable reviendrai peutêtre cause cela sinon prix cest très correct jétais agréablement surprise laspect chambre personnel très gentil douche suffisamment deau chaude lavabo chambre concernant quartier jaimais bien loin tout métro facile trouver deux soirs rentrée très tard si femme seule ny aucun souci malgré sexshop rue javais limpression,1
29,Appi Hotel, personnel agréable situation idéale centre paris sourire laccueil tout long séjour excellent rapport qualitéprixrien redire,0
30,Appi Hotel, surpris trouver encore place semaine avant départ tarif extrêmement intéressant petits budgets situation idéale visiter paris si rentrez tard puisque direction confie clé dentrée lhôtel quartier chaud nuit si réserve ici sait accueil très agréable petit mot gentil chaque départ ensemble lhôtel très propre belle moquettepas d’ascenseur si bonne santé nest problèmeattention descente certaines marches glissantes chambre très calme fenêtre cour linge lit quasiment neuf très propre douche palier propre attention poire douche na support evidemment nest luxe ça dépanne télévision,0
31,Appi Hotel, récemment descendus cet hôtel bon a dascenceur chambres propres bien tenues hôtel rénovation daprès jai vu plus a couvre feu client a droit clé point positif personnes mobilité réduite quelques difficultés donc sabstenir jy trouvé compte quartier pratique facile daccès si mal reviendrai,1
32,Appi Hotel, très bon hôtel qualité prix jai super bien dormi endroit calme bon coin paris proche centre pied tous bons coins paris cest sûre jy retournerai sans souci petit bémol jétais 5ème sans ascenseur cest bien dit lannonce donc savais pourrais être 1er comme 6ème cest petit détail tout cas lannonce dit vraiment vérité a recommander,0
33,Appi Hotel, photos su sites montrent absolument réalité établissement dès arrivées mauvaise odeur létat lieux consterné chambre nétait mieux navons voulu rester tel hôtel pourtant quand débité montant chambre totalement insalubre nest vraiment normal veux être remboursé avoir telle surprise arrivée france maria nolazco,1
34,Appi Hotel, passage paris février 2011 voyage détente accueil vraiment sympa responsables disponibles attentifs toujours prêts renseigner hotel simple très bien tenu quartier vivant chambres propres a 2 métro quartiers chatelet halles beaubourg très central recommande cet hotel toutes personnes recherchant très bon rapport qualité petit budget coeur paris pep,0
35,Appi Hotel, week end amoureux connait tous paris a débarquer milieu sex shop peep show rentrer nuit cest taxi a attendu lon ferme porte derriere heureuseument lon pris enfant car cest plein p alentour surtout ny allez photos cest faux tete lit cest tapis cloué jen passe,1
36,Appi Hotel, 2 journées professionnelles mairie paris pouvais trouver mieux situé logée dernier étage cétait peu dexercice < faut donc spécifier laccès handicapé impossible car laccueil létage chambre monocale douche sanitaires palier desservant 2 chambres bien entretenus pense réutiliser personnel sympa,1
37,Appi Hotel, escapade paris dont 3 nuits lhôtel appi accueil vraiment agréable aucun service attention client monter valises 5 étages sans ascenseur plus serviettes douche vraiment minuscules ny a service chambre non plus géographiquement lhôtel bien situé rapport qualitéprix très décalé,1
38,Appi Hotel, lhôtel très bien situé entre halles gare lest cest très commerçant a sexes shops rien dangereux contre ni télé ni ascenceur peut être fatigant 5è étage 6èm réception fermé partie journée nuit très ennuyeux surtout plusieurs personnes car donne quune clé 2 3 4 occupants contraints revenir mêmes heures rester dehors cela pourrait convenir groupe jeunes détudiants passage cotisant sil trouvent moins cher yh etap hotel accueillant jusquà 4 personnes attention réclamez dautres serviettes savons donne quune personne,1
39,Appi Hotel, sal escalier etages droits chambre sale bain rideau douche moisiet rue,1
40,Appi Hotel, cet hôtel pire hôtel jai pu choisir essayons latteindre depuis deux semaines maintenant appelons 30 fois jour personne prend téléphone envoyé plusieurs emails reçu réponse demandé cause coronavairus dannuler réservation récupérer argent hôtel refuse totalement non professionnels,1
41,Appi Hotel, avis vaut mieux aller auberge auberges jeunesse france certainement mieux gérées personnel plus professionnel voyageais seule jai malheureuse expérience réceptionniste nuit essayant flirter essayant léviter a frappé porte 23h javais peur sécurité jai fini changer dhôtel lendemain devais payer tout séjour jai essayé récupérer argent quand arrivé brésil jai envoyé courrier électronique responsable celuici répondu restez lécart cet hôtel,1
42,Appi Hotel, chambre réservée très simple salle bains commune horrible jai refusé dutiliser douche cause létat lequel trouvions payé espèces arrivée quand allés septembre après quatre mois rechargé carte maintenant essayez contester cela banque soyezen conscient réservez elles,1
43,Appi Hotel, lhôtel a facturé totalité montant séjour après 6 mois payé larrivée certainement donné lautorisation dutiliser nouveau informations bancaires 6 mois plus tard selon dautres critiques nest première fois cela passe cet hôtel,1
44,Appi Hotel, restés ici nuit escaliers raides jai failli tomber descendant escaliers jai emmené bagages salle bain petite restaurant asiatique comme chambre ok enfin cest pire hôtel jaie jamais connu lhôtel bien situé 2 eme arrondissement près métro proximité tout si passe beaucoup temps lhôtel faut aller,1
45,Appi Hotel, jai réservé chambre cet hôtel lannée dernière minute après avoir lu bonnes critiques bookingcom cest vrai jétais juste nuit nétait problème lextérieur malgré emplacement central lhôtel a lair peu louche cest moins quon puisse dire ny a dascenseur garder lesprit devrez monter étage aller réception réceptionniste parle bien langlais français nai demandé documents fait demander professionnalisme quand dit chambre 6ème étage demandais sil pourrait maider valises fille 30 kg backback jai choqué moins quon puisse dire quand murmuré quelque,1
46,Appi Hotel, cest endroit parfait voyageurs budget limité centre paris peut aller pied endroits touristiques chambre sans salle bain 3ème étage cétait très vieille vraiment besoin dêtre rénové quand confortables accès gratuit internet wifi assez rapide meilleur hôtel hiver radiateurs trou salle bains douche toilettes douche très petite si besoin dun endroit où dormir centre tout cétait bon beaucoup dendroits où peut prendre lextérieur a beaucoup sex shops dautres choses genre quelques pubs tout rue animé plein milieu nuit nest,0
47,Appi Hotel, mari moimême réservé séjour cet hôtel 5 mois lavance envoyé email nuit avant dannuler réservation dit quils surréservation a proposé aucune excuse aucune aide trouver nouvelles chambres pris aucune responsabilité erreur limité laccès wifi allemagne lorsque reçu email cherché désespérément hôtel jour fini payer plus voulions jétais furieuse recommanderais déviter cet endroit afin voulez être retrouvés carafe dernière minute sans hôtel où faut séjourner,1
48,Appi Hotel, récemment séjourné cet hôtel 2 nuits cadre dun voyage villes lequel a pris beaucoup dhôtels économiques où reposer malheureusement celuici pire lits confortables murs couverts dhumidité pomme douche cassée wc vieille tachée lhôtel bien situé a plein bars restaurants juste côté conseille réserver cet hôtel,1
49,Appi Hotel, recommande vivement tous ceux cherchent hôtel cher veulent sécurité confortable dormir passé deux nuits ici amis après avoir fait beaucoup recherches auberges similaires entierement appi super très bien situé près métro gentillesse personnel si problème salle bains commune nest lendroit allezy brunch twink face lhôtel lors séjour,0
50,Appi Hotel, lemplacement assez pratique métro 3 amène gare routière principale st lazare a nombreux bars restaurants rue laverie 8 euros chargement cela point fort cet hôtel ny a supermarché près terrain ny a dascenseur lescalier petit vieux également très petite douche wc entre étages cétait incroyable voir 2 douches 2 wc suffisamment répondre tous clients cet hôtel ny a climatisation chambres jai obligé douvrir fenêtre utiliser ventilateur disponible pendant nuit car faisait si chaud chambre connexion wifi si affaiblie second étage pendant lai,1
51,Appi Hotel, cher propre confortable bien situé centre paris idéalement situé séjour dune deux nuits propriétaire très sympathique serviable jétais létage a beaucoup marches monter cela mis part très agréable séjour reviendrais cet hôtel sans hésiter si jétais passant paris,1
52,Appi Hotel, très bien situé contact quartier a lair peu louche si ny passe tous jours visiter paris cest très bon hôtel plupart temps cest très propre bon marché seul inconvénient cet hôtel sans aucun doute escaliers très étroite donc peut amené problème plus grande valise a beaucoup bons restaurants cafés proximité cest assez bruyant soir globalement jai très contente séjour bon endroit où séjourner jeunes couples visiter paris amis,0
53,Appi Hotel, séjourné cet hôtel pendant 3 nuits pendant voyage a arrivée lhôtel dit quelquun dautre séjournent chambre a fait changer autre chambre douche nétait génial quartier nétait plus sûre zone particulièrement concerne soir bien lit sasseoir cest hôtel correct près gare donc cétait facile déplacer paris,1
54,Appi Hotel, séjour 2 nuits coin peut être considéré comme peu louche a quelques bons bars tant faites tête ça conviendra personnel très sympathique serviable escaliers besoin quelques travaux plus chambres petites convenait très bien,1
55,Appi Hotel, cest horrible hôtel comme lhabitude dhébergements petits prix voyage autour monde a fallu partir après première nuit lhôtel trouve centre a best western quelques dollars plus,1
56,Appi Hotel, jai séjourné cet hôtel pendant 3 nuits lopen france lhôtel correct simple na coûté 135 € trois nuits personnel très sympathique donnaient accès clients font service chambre jusquà séjour instant prises revenions murs personnel très sympathique adaptateurs électriques parasols aussi frigo zone réception acheter boissons non alcoolisées également si enfant personne lendroit jai dû marcher 6 étages monter chambre heureusement jeune personne lhôtel situé proximité nombreux services outre large sélection chaînes choix si javais loccasion,0
57,Appi Hotel, jai séjourné chambre lits jumeaux douche taille chambre correcte wc suuuuuper petite ny a escaliers donc cest peu difficile porter valise si restez étages supérieurs chambre nétait très confortable cétait assez bien si recherche dun endroit passer quelques jours dirais celuici bon choix cest très simple a tout dont besoin prix correct cest près centre a station métro tout près,1
58,Appi Hotel, lemplacement génial donc facile déplacer paris métro coin rue louvre 15 min pied plein nourriture magasins proximité lhôtel propre soigné personnel très sympa jy retournerais sans hésiter,0
59,Appi Hotel, surpris commentaires gens recherchent hébergement bon marché lexcellent emplacement écrire après comment choqués ancienne échelle laide moquette manque confort chambre prix cet hôtel correct surtout ceux na prévu sasseoir salle personnel chaleureux serviable chambre cinquième étage offre excellente occasion commencer actif mouvementé mode vie gens nont encore,0
60,Appi Hotel, formidable petit hôtel coeur ville chine restaurants bars fantastiques près bars vin cocktail bars pubs centralement situé facile daccès chambre simple propre personnel très aimable efficace salle bains partagée plupart chambres propre petite salle bain très bon marché paris,0
61,Appi Hotel, cétait chambre base bon emplacement prix bon marché chambres donnent hall donc aucune vue jai bien aimé système sécurité comment très facile daller où voulais aller recommande si voyageur petit budget,1
62,Appi Hotel, pro lhôtel très bien situé lhôtel situé quartier animé près station métro environ 8 minutes pied louvre prix très bas selon normes paris wifi bon stable plutôt propre personnel sympa inconvénients lhôtel très simple petites chambres sans air conditionné petite commune toilettes douche écrasées coins lescalier lensemble prix aussi bas quartier central paris pouvez attendre beaucoup donc font si navez établi normes haut gros juste besoin dun endroit dormir cest bon hôtel bon rapport qualitéprix,0
63,Appi Hotel, vraiment hôtel simple zone très pratique parfait deux nuits certainement luxueux parfaitement propre sûr 2 minutes station métro facile daller pied beaucoup différents endroits dintérêt,0
64,Appi Hotel, réservé cette chambre 2 personne sachant sattendre grandchose quand déçu ny deau froide courante chambre leau chaude a commencé tourner nuit pouvait léteindre lélectricité fonctionnait si trouvé lendroit idéal quand bouchés quelque chose toilettes douche couloir également incroyablement petite gars réception seule bonne chose très serviables,1
65,Appi Hotel, cest probablement lendroit trashiest jaie jamais lieu pied couloir sale chambre meubles cassés sans équipements daucune sorte mots peuvent décrire cela jétais recherche dune alternative économique hôtel précédent séjour paris sauf lemplacement lhôtel cétait grossière erreur si recherche dun très basique situé endroit central idéal séjourner ça dérange tout précède jimagine cest assez bon,1
66,Appi Hotel, cet hôtel situé région où a prostituées rue milieu laprèsmidi essentiellement côté dun peep show place donc quartier plus sûr lintérieur cétait moyen salle toilettes chambre comparable celui trouvé avion,1
67,Appi Hotel, cest petit hôtel très bien raisonnable chambres petites a beaucoup descaliers chambres propres hôtel minimum dinstallations très bon emplacement si nêtes offusquée prostitution accès toutes choses voir faire paris,1
68,Appi Hotel, très proche rer châtelet halles très bien situé proximité tous sites centraux petit déjeuner a plein bons restaurants cafés environs 4ème fois ici vu déménager ailleurs emplacement emplacement emplacement recommandé,0
69,Appi Hotel, séjourné cet hôtel mars 2013 vraiment apprécié fait cest lemplacement très proche centre paris puissions aller pied partout besoin métro emplacements proximité apprécié fait quil leau chauffée toute heure jour nuit très bons hôtels problème cela également rue lhôtel a pubs cafés route lhôtel dispose dun judas spectacles clubs strip rien nest arrivé a également peu difficile communiquer personnel lhôtel surtout parler français anglais cest problème général paris,1
70,Appi Hotel, très bien situé très central a beaucoup bars restaurants corrects proximité pratique prendre métro 80 euros chambre triple assez basique télé plus grande prévu réceptionniste également très serviable sympa si lintention passer toute journée chambre puis choisissez endroit différent séjour si juste aller dormir chambre passer temps lextérieur puis cest parfait ceux petit budget,0
71,Appi Hotel, cest excellente option séjour paris si recherche dun bien situé hostel région où beaucoup restaurants asiatiques bon marché viens revenir paris où jai séjourné chambre triple ny télé minuscule placard porte salle bains privée fermait correctement payé 25 euros nuit donc rien plaindre personnel très gentil sauf si bruyante voisin chambre peut arriver lhôtel plus cher repos garanti meilleur cest évidemment lemplacement très près ligne jaune principale mtr arrêt 50 mètres pied lauberge pouvez avoir très bon dîner lun restaurants,1
72,Appi Hotel, hébergement très sommaire 30 euro nuit attentes remplies cest sans doute «pas chichis» aussi crois «big personnes ceux problèmes mobilité problème douche placard» cest vraiment placard nai réalisé combien claustrophobe jétais très fit douche chambre calme senti sécurité jy retournerai volontiers parce quil très bien situé faible coût,1
73,Appi Hotel, séjourné cet hôtel 4 nuits lemplacement génial comme dehors plupart journées visites navons passé beaucoup temps lhôtel cependant chambres assez petites douches toilettes cage descalier laissait désirer service excellent parlaient anglais très serviables tourisme transport sans doute ny retournerais,1
74,Appi Hotel, jai vraiment aimé cet hôtel entierement appi cest très bon hôtel économique paris cest près tout peut sattendre belle chambre champane personnel peu sournoises cest correct,1
75,Appi Hotel, cest correct si seulement besoin dun endroit dormir bien situé bon wificonnection,1
76,Appi Hotel, cest hôtel très simple réservé deux chambres chambre lits jumeaux salle bains privative chambre double quoi préparer partagés séjournez 3 nuits plus quassez longtemps séjourner cet établissement chambre chambre lits jumeaux très petite petite armoire seulement couple cintres petite commode reztiroir na encore ouvert salle bain minuscule dû touche corps autour sasseoir toilettes éviter sabre soimême petit lavabo douche style cabine simple taille générale comme nimporte quel autre lemplacement assez douteuses quartier rouge comme,1
77,Appi Hotel, femme fils 11 jy resté jour boxe 1 nuit servait but réservé endroit dormir 1 nuit puissions voir monuments paris chemin maison disneyland paris chambre 5ème étage ny dascenseurs bâtiment intéressant crois quils laissé section unplastered mur peut voir structurele personnel sympathique parlent bien anglais serviable pu laisser bagages là quand quitté puissions visiter villece nest hôtel 5 étoiles payer 5 prix sar chambre triple salle bain attenante noël paris centrales £70 très bon prix connexion wifi,0
78,Appi Hotel, très bien situé facile rendre pied endroits visiter paris lhôtel trouve quartier rouge na remarqué ça dascenseur car cest vieil hôtel parisien typique nest quun peu and sports personnel serviable chambres petites jolie propre cest lon a vraiment argent,0
79,Appi Hotel, jai séjourné lhôtel appi long weekend car recherche dun hôtel cher centre paris agréablement surpris car chambre propre très joliment décorée portesfenêtres donnaient rue principale personnel sympa si comme personne travailler laprèsmidi check in peut être problème si arrivez tant organiser arrivée moments lavance recommandons sans hésiter séjourner appi si recherche dun bon prix centre paris,0
80,Appi Hotel, lhôtel situé larrière rue saintdenis faut attention a beaucoup prostituées rue nest tout dangereux lhôtel nest grand prix cest excellent rapport qualitéprix chambres propres bien chauffées douches commun très petite propre également lhôtel 10mn pied toutes grandes ligne métro forum halles louvre tout dont besoin court séjour réalité combien fois quand va rester chambre voyage paris cest endroit où faut retourner après longue journée davoir bonne bonne nuit sommeil retournerais làbas joie dû payer toute durée séjour,0
81,hotel jeanne d arc, cet hôtel vieillot propre silencieux bien situé ascenseur jamais panne laccueil courtois discret disponible jour comme nuit prix corrects paris,1
82,hotel jeanne d arc, sagissait dune réservation dernière minute car changé projets voyage nai jamais plus soulagé quitter hôtel celuici chambre dernier étage tout bout dun long couloir sordide chambre ellemême minuscule peine assez despace marcher sans parler bagages famille trois personnes tapis couvrelits lair vieux sales salle bain puait lair moisie mauvaise ventilation ventilation leau coulait partout après douche shampooing juste savon mains distributeur mural climatisation murale fonctionnait nétait possible douvrir fenêtre balcon car trois grands alternateurs ac,1
83,hotel jeanne d arc, si tarifs très élevés paris cet endroit offre peu dintérêt locaux vieillots lascenseur minuscule chambres très étroites bruyantes sentent parfum synthétique salle bain taille dun placard disposait papier hygiénique sûrement oubli quant petit déjeuner prend soussol cela vaut détour parkings publics proximité fermés weekend bref cest caricature vieil hôtel parisien regrette choix nayant pris temps renseigner cet hôtel,1
84,hotel jeanne d arc, chambre correcte salle bain minuscule moins 300 m2 cest propre lentretien lhotel laisse désirer taches moquette clim absente électricité vétuste etc ascenseur minuscule 2 personnes sac bouge vraiment plus petit dej salle sous sol lagent propreté traverse sacs draps partent lavage personnel sympa dépassé organisation gestion létablissement approximative,1
85,hotel jeanne d arc, joli petit hôtel banlieue commodément situé près gare restaurants magasins chambres petites simples propres parfaites court séjour paris place derrière lhôtel dispose dun bel éventail restaurants tous très bien si voyagez pendant moment a laverie seulement quelques lhôtel rrien reprocher cet hôtel recommande séjourner ici retournerons,0
86,hotel jeanne d arc, paris grand hôtel jeanne darc 75013 date 23 février 2008 critique membre tripadvisor bourgogne hôtel très très très moyen seuls points forts personnel aimable situation géographique si lon veut visiter jardin plantes institut monde arabe bnf nombreux points noirs salle bains microscopique 70 cm large grand maximum non fonctionnelle filet deau douche robinet deau froide lavabo fonctionne fois 5 bruit boulevard impossible dormir sans boules quiès fenêtre ferme mal chambres petites petit déjeuner prendre uniquement si site loffre car littéralement cave ascenseur minuscule vieux travaux chambre 2 portes nôtre,1
87,hotel jeanne d arc, jai pensé javais réservé lhôtel jeanne darc grand hôtel jeanne darc nétait tout quoi mattendais cétait erreur assurezvous juste regardez photos situation alors savez réservé lensemble lhôtel emplacement pratique restaurants centreville passé temps marcher long rivière pu voir tous principaux sites touristiques dame tour eiffel louvre etc également très près jardins musée dhistoire naturelle fait promenade agréable chambre sale très bruyante personnes séjournant chambre dà côté debout toute nuit,1
88,hotel jeanne d arc, resté ici semaine dernière cest bien court séjour cétait lun plus raisonnables seulement préavis semaines a petits couloirs donc si grandes beaucoup bagages peux voir cela inconfortables jai trouvé cétait confortable sûr parking gratuit weekend juste rue lemplacement génial peut aller pied rivière bonnes stations métro proximité a aussi petit supermarché vue splendide pâtisserie juste face a bars restaurants toutes routes près compagnon peu surpris première vue lendroit paris totalité comme pouvez limaginer cétait première fois car,0
89,hotel jeanne d arc, passé très bon moment ici cest comme hôtel très étroit signifie chambres petites lensemble assez basique a tout voulez propriétaire très gentil serviable région facilement accessible centre paris,0
90,hotel jeanne d arc, seule chose cet hôtel cest emplacement tout près tout compris restaurants métro chambres très petites salle bain si minuscules lavabo juste face douche sest avérée pratique douche si petite a fallu jappuie lavabo tenir pied raser jambes personnel parle presque mot danglais déteste quand doit navons pu avoir glace téléphone travail trois jours personnel a ignoré lascenseur si petite qufaut faire venir bagages séparément vousmême extras chambre compris lampes chevet air travailler climatisation,1
91,hotel jeanne d arc, réservé cet hôtel internet tru nont avoir lu commentaires avant réservation senti peu frustré lisant critiques mattendais beaucoup lhôtel cependant pris risque ça valait coup prix payé mari fille erika bonne séjour paris lhôtel peutêtre peu petites quoi sattendre paris toute façon chambre triple quand voyage comme font attention budgetnous trouve rien redire propriétaire personnel aimables serviables si petits budgets nhésitez aller lhôtel pratique trop près st marcell gare ann kuala lumpur,1
92,Ibis Budget Paris Porte de Montmartre, prix très correct personnel agréable parking sous sol très calme proche centre paris stade france petit déjeuné copieux restaurants a proximité très facile daccès proche périphérique,0
93,Ibis Budget Paris Porte de Montmartre, chambre peine passable tant volonté déconomie obsède accor salle deau plastique bruyant chaise plastique partout hall crade tapissé distributeurs environnement fuir surtout nuit,1
94,Ibis Budget Paris Porte de Montmartre, déjà larrivé rue mène lhôtel jonchée détritus tout genre laissant envisager bon séjour arrivé parking déjà très onéreux particulièrement glauque donne lenvie dy laisser voiture plus lescalier permettant sortir rue sent pisse plein nez répugnant suite nest mieux arrivé hall lhôtel homme partiellement éméché train cuver canapé précise minuit passé déjà pose questions laccueil réserve bonne surprise hôtesse non souriante désagréable demande quelle fait là voilà partis direction chambre moquette couloir tachée cela laisse rien présager bon arrivé chambre,1
95,Ibis Budget Paris Porte de Montmartre, agréable séjour cet hôtel légèrement excentré centre paris chambres fonctionnelles propres cerise gâteau prix pratiqués très doux paris noublie personnel hôtelier aimable agréable mention spéciale réceptionniste petit déjeuner agréable souriante disponible conclusion séjour calme reposant lécart grèves ratp sncf sans oublier monop 50 microonde disposition hall réception bien utile diner chambre,0
96,Ibis Budget Paris Porte de Montmartre, excellente journée paris lhôtel ibis budget montmartre seul inconvénient métro peu loin lhôtel chambre très propre sanitaires aussi propre climat excellent merci ibis,0
97,Ibis Budget Paris Porte de Montmartre, hôtel passage permettant passer nuit proximité puces 18ème o pointé personnel petitdéjeuner dont devrait soccuper tâches lieu faire réflexion totalement déplacée petitdéjeuner restant médiocre prix,1
